GexfID,Title,IMDB_id,ReleaseDate,Transitivity,Genre,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters
552,Miami Vice,tt0430357,2006,0.463829787,['Action'. 'Adventure'. 'Crime'],Miami-Vice,8938.00,0.30,2034.00,4000.00,0.68,5000.00,0.17,182.00,29.00
553,Midnight Cowboy,tt0064665,1969,0.167053364,['Drama'],Midnight-Cowboy,4588.00,0.35,1873.00,2000.00,0.51,6000.00,0.09,98.00,34.00
555,Mighty Morphin Power Rangers: The Movie,tt0113820,1995,0.600200401,['Action'. 'Adventure'. 'Family'],Mighty-Morphin-Power-Rangers:-The-Movie,24513.00,0.23,1862.00,3000.00,0.78,2000.00,0.28,643.00,36.00
556,Milk,tt1013753,2008,0.408502773,['Biography'. 'Drama'],Milk,10409.00,0.30,1957.00,4000.00,0.63,2000.00,0.14,288.00,43.00
558,Mimic,tt0119675,1997,0.37994723,['Horror'. 'Sci-Fi'],Mimic,8071.00,0.35,1985.00,4000.00,0.80,3000.00,0.15,147.00,28.00
559,Mini's First Time,tt0425253,2006,0.339805825,['Comedy'. 'Crime'. 'Drama'],Mini's-First-Time,9136.00,0.33,2081.00,3000.00,0.72,1000.00,0.14,142.00,35.00
560,Minority Report,tt0181689,2002,0.394414169,['Action'. 'Crime'. 'Mystery'],Minority-Report,5968.00,0.50,2320.00,4000.00,0.67,11000.00,0.08,141.00,46.00
562,Mirrors,tt0790686,2008,0.23964497,['Horror'. 'Mystery'],Mirrors,6000.00,0.38,1978.00,3000.00,0.66,1000.00,0.14,97.00,26.00
564,Mission: Impossible,tt0117060,1996,0.473901099,['Action'. 'Adventure'. 'Thriller'],Mission:-Impossible,8867.00,0.32,1937.00,4000.00,0.75,3000.00,0.20,162.00,29.00
565,Mission: Impossible II,tt0120755,2000,0.671489362,['Action'. 'Adventure'. 'Thriller'],Mission:-Impossible-II,21391.00,0.14,1571.00,3000.00,0.79,2000.00,0.42,334.00,22.00
566,Mission to Mars,tt0183523,2000,0.527936146,['Adventure'. 'Sci-Fi'. 'Thriller'],Mission-to-Mars,19300.00,0.26,1901.00,4000.00,0.83,1000.00,0.24,375.00,25.00
567,Monkeybone,tt0166276,2001,0.401000715,['Animation'. 'Comedy'. 'Fantasy'],Monkeybone,7119.00,0.47,2418.00,5000.00,0.70,3000.00,0.09,239.00,56.00
569,Moon,tt1182345,2009,0.552,['Drama'. 'Mystery'. 'Sci-Fi'],Moon,8462.00,0.17,1667.00,3000.00,0.59,2000.00,0.35,70.00,12.00
